stopTitle,route
14th St & B St (EB),Q
14th St & B St (WB),P
14th St & B St (WB),T
14th St & Davis HS (WB),P
14th St & Davis HS (WB),S
14th St & Davis HS (WB),T
14th St & F St (WB),P
14th St & Oak St (EB),Q
14th St & Oak St (WB),F
14th St & Oak St (WB),P
1st St & C St (EB),M
1st St & C St (EB),W
1st St & D St (WB),M
1st St & D St (WB),W
2nd St & B St (EB),A
2nd St & B St (EB),O
2nd St & E St (EB),A
2nd St & E St (EB),O
2nd St & E St (WB),A
2nd St. & Target Drive (WB),O
3rd St & C St (EB),E
3rd St & C St (WB),E
3rd St & C St (WB),O
3rd St & E St (EB),E
3rd St & E St (WB),E
3rd St & E St (WB),O
3rd St & K St (EB),A
3rd St & K St (EB),O
3rd St & K St (WB),A
3rd St & K St (WB),O
5th St & Alhambra Dr (SB),A
5th St & Arroyo Ave (EB),A
5th St & Arroyo Ave (EB),O
5th St & Cantrill  (EB),A
5th St & Cantrill  (EB),O
5th St & Cantrill (WB),A
5th St & Cantrill (WB),O
5th St & D St (EB),P
5th St & D St (WB),Q
5th St & Davis PW Corp Yard (WB),A
5th St & Davis PW Corp Yard (WB),Q
5th St & G St (EB),P
5th St & I St (WB),Q
5th St & Pelz Bike Path Tunnel (WB),A
5th St & Pena Dr (EB),A
5th St & Pena Dr (EB),O
5th St & Pole Line Rd (EB),A
5th St & Pole Line Rd (EB),O
5th St & Pole Line Rd (EB),P
5th St & Pole Line Rd (WB),A
5th St & Pole Line Rd (WB),O
5th St & Pole Line Rd (WB),Q
5th St & San Rafael St (WB),A
5th St & San Rafael St (WB),O
5th St & San Sebastian St (WB),A
5th St & Spafford St (EB),A
5th St & Spafford St (EB),O
8th St & Chestnut Ln (EB),L
8th St & Chestnut Ln (WB),L
8th St & D St (EB),L
8th St & D St (WB),L
8th St & G St (EB),L
8th St & G St (WB),E
8th St & G St (WB),L
8th St & J St (EB),L
8th St & J St (WB),L
8th St & L St (EB),L
8th St & L St (WB),L
8th St & Sycamore Ln (WB),C
A St & Hutchison (SB),A
A St & Hutchison (SB),L
A St & Hutchison (SB),W
Adams St & 720 Adams St (NB),K
Alhambra & 5th/Verona (SB),T
Alhambra Dr & 5th St (EB),A
Alhambra Dr & 5th St (EB),O
Alhambra Dr & 5th St (EB),T
Alhambra Dr & 5th St (WB),T
Alhambra Dr & Arroyo Ave (EB),A
Alhambra Dr & Arroyo Ave (EB),O
Alhambra Dr & Arroyo Ave (EB),T
Alhambra Dr & Caceres Ct (WB),A
Alhambra Dr & Caceres Ct (WB),T
Alhambra Dr & Loyola Dr (EB),T
Alhambra Dr & Loyola Dr (WB),T
Alhambra Dr & Mace Blvd (EB),A
