stopTag,stopTitle,stopLat,stopLon
22258,Silo Terminal & North Boarding Area (WB),38.5393299,-121.75368
22169,Hutchison Dr & Art Building (EB),38.53919,-121.7483699
22000,Hutchison Dr & A St (EB),38.54003,-121.74605
22005,2nd St & B St (EB),38.54266,-121.7439099
22007,2nd St & E St (EB),38.54314,-121.7411799
22011,H St & Amtrak Station (NB),38.5439899,-121.73802
22031,3rd St & K St (EB),38.5456399,-121.7345
22072,5th St & Cantrill (WB),38.5515299,-121.72136
22033,L St & 4th St (NB),38.54784,-121.73412
22075,5th St & Pole Line Rd (EB),38.54874,-121.72565
22073,5th St & Cantrill  (EB),38.5517799,-121.71904
22234,5th St & Pena Dr (EB),38.5526799,-121.71538
22237,5th St & Spafford St (EB),38.55342,-121.71244
22070,5th St & Arroyo Ave (EB),38.55466,-121.7090799
22067,Alhambra Dr & 5th St (EB),38.55781,-121.7043
22235,Alhambra Dr & Arroyo Ave (EB),38.55786,-121.69946
22066,Alhambra Dr & Mace Blvd (EB),38.5585499,-121.69697
22243,Mace Blvd & 2nd St (SB),38.5577499,-121.6942999
22061,Chiles Rd & Mace Blvd (EB),38.55077,-121.6934799
22062,El Cemonte Ave & Glide Dr (SB),38.5508799,-121.69103
22063,Cowell Blvd & El Cemonte Ave (WB),38.5489599,-121.69009
22064,Cowell Blvd & Mace Blvd (WB),38.5488399,-121.6925799
22060,Mace Blvd & Cowell Blvd (NB),38.54928,-121.69425
22244,Mace Blvd & 2nd St (NB),38.55625,-121.69395
22065,Alhambra Dr & Mace Blvd (WB),38.5587299,-121.69722
22236,Alhambra Dr & Caceres Ct (WB),38.5580799,-121.7012599
22068,5th St & Alhambra Dr (SB),38.55739,-121.7052499
22069,5th St & Pelz Bike Path Tunnel (WB),38.55483,-121.7093199
22238,5th St & San Sebastian St (WB),38.5534899,-121.7129099
22071,5th St & San Rafael St (WB),38.5526299,-121.7165099
22074,5th St & Pole Line Rd (WB),38.5490399,-121.7255299
22077,5th St & Pole Line Rd (WB),38.5488299,-121.7277699
22078,5th St & Davis PW Corp Yard (WB),38.5488999,-121.7308
22032,L St & 425 (SB),38.54774,-121.73434
22030,3rd St & K St (WB),38.5457499,-121.7350899
22012,H St Alley & 2nd St (SB),38.5439399,-121.73824
