route,stop,date,boarding,deboarding
A,Alhambra Dr & Mace Blvd (WB),2012-10-01,93,2
A,A St & Hutchison (SB),2012-10-01,5,199
A,3rd St & K St (WB),2012-10-01,53,3
A,Chiles Rd & Mace Blvd (EB),2012-10-01,7,16
A,C St & 1st St (SB),2012-10-01,2,11
A,Mace Blvd & Cowell Blvd (NB),2012-10-01,14,7
A,2nd St & E St (WB),2012-10-01,41,39
A,Alhambra Dr & Arroyo Ave (EB),2012-10-01,4,20
A,5th St & Arroyo Ave (EB),2012-10-01,6,17
A,5th St & Pelz Bike Path Tunnel (WB),2012-10-01,18,1
A,H St & Amtrak Station (NB),2012-10-01,29,36
A,3rd St & K St (EB),2012-10-01,5,54
A,Alhambra Dr & 5th St (EB),2012-10-01,1,15
A,5th St & Cantrill  (EB),2012-10-01,6,299
A,5th St & Spafford St (EB),2012-10-01,3,16
A,5th St & San Rafael St (WB),2012-10-01,9,3
A,5th St & Pole Line Rd (EB),2012-10-01,17,83
A,Silo Terminal & North Boarding Area (WB),2012-10-01,1368,886
A,5th St & Alhambra Dr (SB),2012-10-01,7,0
A,Mace Blvd & 2nd St (SB),2012-10-01,5,5
A,2nd St & B St (EB),2012-10-01,26,7
A,Cowell Blvd & Mace Blvd (WB),2012-10-01,29,24
A,El Cemonte Ave & Glide Dr (SB),2012-10-01,78,76
A,L St & 4th St (NB),2012-10-01,5,3
A,5th St & Pena Dr (EB),2012-10-01,3,11
A,5th St & San Sebastian St (WB),2012-10-01,12,0
A,Alhambra Dr & Mace Blvd (EB),2012-10-01,6,94
A,5th St & Davis PW Corp Yard (WB),2012-10-01,2,3
A,Hutchison Dr & Art Building (EB),2012-10-01,216,1
A,L St & 425 (SB),2012-10-01,22,10
A,Hutchison & Shields Library (WB),2012-10-01,2,266
A,5th St & Cantrill (WB),2012-10-01,654,168
A,2nd St & E St (EB),2012-10-01,23,57
A,Hutchison Dr & A St (EB),2012-10-01,7,1
A,Mace Blvd & 2nd St (NB),2012-10-01,4,1
A,Cowell Blvd & El Cemonte Ave (WB),2012-10-01,6,7
A,H St Alley & 2nd St (SB),2012-10-01,53,22
A,Alhambra Dr & Caceres Ct (WB),2012-10-01,15,0
A,5th St & Pole Line Rd (WB),2012-10-01,81,30
A,Silo Terminal & North Boarding Area (WB),2012-10-02,1446,996
A,Alhambra Dr & Caceres Ct (WB),2012-10-02,15,0
A,Mace Blvd & Cowell Blvd (NB),2012-10-02,14,5
A,5th St & Pena Dr (EB),2012-10-02,3,19
A,C St & 1st St (SB),2012-10-02,2,7
A,5th St & San Rafael St (WB),2012-10-02,9,0
A,Chiles Rd & Mace Blvd (EB),2012-10-02,3,16
A,5th St & Cantrill (WB),2012-10-02,786,160
A,3rd St & K St (WB),2012-10-02,57,0
A,5th St & Pelz Bike Path Tunnel (WB),2012-10-02,22,3
A,2nd St & E St (WB),2012-10-02,35,17
A,H St Alley & 2nd St (SB),2012-10-02,47,17
A,L St & 425 (SB),2012-10-02,17,7
A,3rd St & K St (EB),2012-10-02,2,53
A,5th St & Pole Line Rd (WB),2012-10-02,94,27
A,2nd St & E St (EB),2012-10-02,22,54
A,Alhambra Dr & Mace Blvd (EB),2012-10-02,11,100
A,Hutchison & Shields Library (WB),2012-10-02,1,315
A,Hutchison Dr & Art Building (EB),2012-10-02,224,8
A,Cowell Blvd & Mace Blvd (WB),2012-10-02,24,22
A,El Cemonte Ave & Glide Dr (SB),2012-10-02,80,78
A,5th St & Cantrill  (EB),2012-10-02,7,348
A,L St & 4th St (NB),2012-10-02,2,13
A,Cowell Blvd & El Cemonte Ave (WB),2012-10-02,6,6
A,Alhambra Dr & Mace Blvd (WB),2012-10-02,92,1
A,Mace Blvd & 2nd St (NB),2012-10-02,4,4
A,5th St & Alhambra Dr (SB),2012-10-02,12,1
A,2nd St & B St (EB),2012-10-02,20,15
A,5th St & Spafford St (EB),2012-10-02,2,12
A,Alhambra Dr & 5th St (EB),2012-10-02,1,20
A,5th St & Arroyo Ave (EB),2012-10-02,3,16
A,H St & Amtrak Station (NB),2012-10-02,49,61
A,5th St & Davis PW Corp Yard (WB),2012-10-02,3,1
A,A St & Hutchison (SB),2012-10-02,1,184
A,Alhambra Dr & Arroyo Ave (EB),2012-10-02,5,22
A,5th St & Pole Line Rd (EB),2012-10-02,19,61
A,Hutchison Dr & A St (EB),2012-10-02,10,0
A,Mace Blvd & 2nd St (SB),2012-10-02,9,7
A,5th St & San Sebastian St (WB),2012-10-02,6,0
A,Alhambra Dr & Mace Blvd (WB),2012-10-03,99,4
A,Alhambra Dr & 5th St (EB),2012-10-03,2,20
A,Hutchison Dr & A St (EB),2012-10-03,11,2
A,A St & Hutchison (SB),2012-10-03,1,194
A,C St & 1st St (SB),2012-10-03,3,4
A,5th St & Pole Line Rd (EB),2012-10-03,7,72
A,Mace Blvd & 2nd St (NB),2012-10-03,5,1
A,Alhambra Dr & Mace Blvd (EB),2012-10-03,6,95
A,5th St & San Sebastian St (WB),2012-10-03,11,0
A,Silo Terminal & North Boarding Area (WB),2012-10-03,1468,982
A,H St & Amtrak Station (NB),2012-10-03,31,46
A,L St & 425 (SB),2012-10-03,17,9
A,5th St & Davis PW Corp Yard (WB),2012-10-03,2,2
A,L St & 4th St (NB),2012-10-03,3,10
A,5th St & Pelz Bike Path Tunnel (WB),2012-10-03,25,3
A,Hutchison Dr & Art Building (EB),2012-10-03,199,3
A,3rd St & K St (WB),2012-10-03,56,4
A,Alhambra Dr & Arroyo Ave (EB),2012-10-03,3,19
A,Cowell Blvd & El Cemonte Ave (WB),2012-10-03,6,10
A,Chiles Rd & Mace Blvd (EB),2012-10-03,5,10
A,5th St & Pena Dr (EB),2012-10-03,5,16
A,El Cemonte Ave & Glide Dr (SB),2012-10-03,66,90
A,Mace Blvd & Cowell Blvd (NB),2012-10-03,9,3
A,2nd St & B St (EB),2012-10-03,26,5
A,5th St & Alhambra Dr (SB),2012-10-03,13,0
A,H St Alley & 2nd St (SB),2012-10-03,40,11
A,Hutchison & Shields Library (WB),2012-10-03,4,309
A,Cowell Blvd & Mace Blvd (WB),2012-10-03,26,22
A,5th St & Arroyo Ave (EB),2012-10-03,3,22
A,Alhambra Dr & Caceres Ct (WB),2012-10-03,15,0
A,5th St & Cantrill  (EB),2012-10-03,5,358
A,2nd St & E St (WB),2012-10-03,25,35
A,5th St & Pole Line Rd (WB),2012-10-03,101,29
A,3rd St & K St (EB),2012-10-03,7,60
A,5th St & Cantrill (WB),2012-10-03,798,184
A,5th St & Spafford St (EB),2012-10-03,0,17
A,2nd St & E St (EB),2012-10-03,28,33
A,Mace Blvd & 2nd St (SB),2012-10-03,5,5
A,5th St & San Rafael St (WB),2012-10-03,11,1
A,El Cemonte Ave & Glide Dr (SB),2012-10-04,68,74
A,A St & Hutchison (SB),2012-10-04,5,166
A,5th St & Pole Line Rd (WB),2012-10-04,100,14
A,Hutchison Dr & A St (EB),2012-10-04,7,1
A,5th St & Arroyo Ave (EB),2012-10-04,2,25
A,Alhambra Dr & Caceres Ct (WB),2012-10-04,22,0
A,2nd St & B St (EB),2012-10-04,8,7
A,H St Alley & 2nd St (SB),2012-10-04,44,17
A,5th St & San Sebastian St (WB),2012-10-04,14,1
A,Cowell Blvd & Mace Blvd (WB),2012-10-04,26,22
A,Mace Blvd & Cowell Blvd (NB),2012-10-04,7,8
A,Mace Blvd & 2nd St (NB),2012-10-04,5,1
A,Alhambra Dr & Mace Blvd (EB),2012-10-04,5,75
A,H St & Amtrak Station (NB),2012-10-04,23,56
A,Alhambra Dr & Arroyo Ave (EB),2012-10-04,2,21
A,Alhambra Dr & 5th St (EB),2012-10-04,2,15
A,L St & 425 (SB),2012-10-04,16,8
A,5th St & Pena Dr (EB),2012-10-04,4,18
A,5th St & Pelz Bike Path Tunnel (WB),2012-10-04,26,3
A,Chiles Rd & Mace Blvd (EB),2012-10-04,3,14
A,5th St & Davis PW Corp Yard (WB),2012-10-04,5,0
A,3rd St & K St (EB),2012-10-04,4,63
A,Cowell Blvd & El Cemonte Ave (WB),2012-10-04,8,6
A,2nd St & E St (EB),2012-10-04,21,31
A,L St & 4th St (NB),2012-10-04,3,10
A,5th St & San Rafael St (WB),2012-10-04,16,2
A,5th St & Cantrill (WB),2012-10-04,722,140
A,5th St & Spafford St (EB),2012-10-04,4,15
A,Silo Terminal & North Boarding Area (WB),2012-10-04,1364,978
A,Hutchison & Shields Library (WB),2012-10-04,4,287
A,5th St & Cantrill  (EB),2012-10-04,11,333
A,2nd St & E St (WB),2012-10-04,12,29
A,Mace Blvd & 2nd St (SB),2012-10-04,2,6
A,5th St & Alhambra Dr (SB),2012-10-04,14,1
A,3rd St & K St (WB),2012-10-04,61,4
A,5th St & Pole Line Rd (EB),2012-10-04,12,68
A,C St & 1st St (SB),2012-10-04,0,5
A,Alhambra Dr & Mace Blvd (WB),2012-10-04,84,1
A,Hutchison Dr & Art Building (EB),2012-10-04,178,9
A,A St & Hutchison (SB),2012-10-05,9,132
A,2nd St & E St (WB),2012-10-05,31,29
A,2nd St & B St (EB),2012-10-05,10,6
A,5th St & San Rafael St (WB),2012-10-05,13,3
A,Mace Blvd & Cowell Blvd (NB),2012-10-05,11,3
A,5th St & Alhambra Dr (SB),2012-10-05,7,0
A,5th St & Cantrill  (EB),2012-10-05,7,222
A,5th St & Pole Line Rd (EB),2012-10-05,11,50
A,5th St & Spafford St (EB),2012-10-05,1,16
A,2nd St & E St (EB),2012-10-05,19,55
A,L St & 4th St (NB),2012-10-05,2,6
A,Chiles Rd & Mace Blvd (EB),2012-10-05,0,8
A,Silo Terminal & North Boarding Area (WB),2012-10-05,1396,840
A,5th St & Pena Dr (EB),2012-10-05,2,26
A,Alhambra Dr & 5th St (EB),2012-10-05,1,11
A,El Cemonte Ave & Glide Dr (SB),2012-10-05,54,64
A,Hutchison Dr & Art Building (EB),2012-10-05,127,1
A,5th St & Pelz Bike Path Tunnel (WB),2012-10-05,23,4
A,5th St & Davis PW Corp Yard (WB),2012-10-05,2,2
A,Alhambra Dr & Caceres Ct (WB),2012-10-05,15,0
A,Alhambra Dr & Mace Blvd (EB),2012-10-05,5,63
A,3rd St & K St (WB),2012-10-05,39,6
A,Hutchison & Shields Library (WB),2012-10-05,18,220
A,Cowell Blvd & Mace Blvd (WB),2012-10-05,24,20
A,Alhambra Dr & Mace Blvd (WB),2012-10-05,75,3
A,L St & 425 (SB),2012-10-05,10,8
A,Alhambra Dr & Arroyo Ave (EB),2012-10-05,5,23
A,Hutchison Dr & A St (EB),2012-10-05,6,0
A,C St & 1st St (SB),2012-10-05,4,13
A,Mace Blvd & 2nd St (NB),2012-10-05,6,2
A,H St & Amtrak Station (NB),2012-10-05,49,203
A,5th St & Pole Line Rd (WB),2012-10-05,64,29
A,5th St & Arroyo Ave (EB),2012-10-05,4,14
A,5th St & San Sebastian St (WB),2012-10-05,11,0
A,Mace Blvd & 2nd St (SB),2012-10-05,13,17
A,Cowell Blvd & El Cemonte Ave (WB),2012-10-05,5,7
A,H St Alley & 2nd St (SB),2012-10-05,50,44
A,3rd St & K St (EB),2012-10-05,9,34
A,5th St & Cantrill (WB),2012-10-05,640,162
A,Cowell Blvd & Mace Blvd (WB),2012-10-08,26,18
A,3rd St & K St (WB),2012-10-08,50,4
A,Alhambra Dr & 5th St (EB),2012-10-08,0,21
A,Alhambra Dr & Arroyo Ave (EB),2012-10-08,1,19
A,5th St & San Rafael St (WB),2012-10-08,10,0
A,5th St & Cantrill (WB),2012-10-08,532,136
A,5th St & Pole Line Rd (WB),2012-10-08,72,17
A,A St & Hutchison (SB),2012-10-08,1,163
