route,date,boarding,deboarding
A,2012-10-01,2937,2493
A,2012-10-02,3165,2676
A,2012-10-03,3147,2690
A,2012-10-04,2914,2534
A,2012-10-05,2778,2346
A,2012-10-08,2687,2377
A,2012-10-09,3045,2627
A,2012-10-10,2859,2332
A,2012-10-11,2928,2364
A,2012-10-12,2821,2186
A,2012-10-15,2625,2158
A,2012-10-16,2790,2359
A,2012-10-17,2851,2349
A,2012-10-18,2898,2402
A,2012-10-19,2578,2144
A,2012-10-22,3350,2816
A,2012-10-23,3165,2655
A,2012-10-24,3037,2539
A,2012-10-25,2831,2435
A,2012-10-26,2773,2303
A,2012-10-29,2643,2255
A,2012-10-30,2919,2519
A,2012-10-31,2805,2298
B,2012-10-01,719,672
B,2012-10-02,679,580
B,2012-10-03,703,546
B,2012-10-04,660,629
B,2012-10-05,586,598
B,2012-10-08,667,593
B,2012-10-09,651,596
B,2012-10-10,643,552
B,2012-10-11,891,659
B,2012-10-12,491,546
B,2012-10-15,711,576
B,2012-10-16,787,629
B,2012-10-17,662,700
B,2012-10-18,704,607
B,2012-10-19,496,540
B,2012-10-22,904,819
B,2012-10-23,640,568
B,2012-10-24,582,570
B,2012-10-25,421,431
B,2012-10-26,321,354
B,2012-10-29,509,552
B,2012-10-30,473,528
B,2012-10-31,483,575
C,2012-10-01,714,795
C,2012-10-02,710,828
C,2012-10-03,788,736
C,2012-10-04,582,678
C,2012-10-05,543,572
C,2012-10-08,658,790
C,2012-10-09,638,709
C,2012-10-10,676,753
C,2012-10-11,783,642
C,2012-10-12,598,650
C,2012-10-15,766,797
C,2012-10-16,690,676
C,2012-10-17,705,718
C,2012-10-18,711,627
C,2012-10-19,592,600
C,2012-10-22,1038,1143
C,2012-10-23,751,837
C,2012-10-24,847,786
C,2012-10-25,779,749
C,2012-10-26,663,631
C,2012-10-29,837,782
C,2012-10-30,716,755
C,2012-10-31,788,931
D,2012-10-01,2274,2020
D,2012-10-02,2226,2160
D,2012-10-03,2274,1904
D,2012-10-04,2261,2029
D,2012-10-05,1856,1790
D,2012-10-08,2159,1934
D,2012-10-09,2192,2068
D,2012-10-10,2216,2160
D,2012-10-11,2409,2209
D,2012-10-12,1966,1855
D,2012-10-15,2247,2045
D,2012-10-16,2422,2123
D,2012-10-17,2486,2076
D,2012-10-18,2273,2105
D,2012-10-19,1722,1789
D,2012-10-22,3053,2468
D,2012-10-23,2552,2417
D,2012-10-24,2751,2329
D,2012-10-25,2512,2106
D,2012-10-26,1836,1875
D,2012-10-29,2311,2041
D,2012-10-30,2661,2089
D,2012-10-31,2697,2198
E,2012-10-01,472,528
E,2012-10-02,454,541
E,2012-10-03,476,544
E,2012-10-04,464,464
E,2012-10-05,575,586
E,2012-10-08,462,436
E,2012-10-09,466,501
E,2012-10-10,457,487
E,2012-10-11,589,560
E,2012-10-12,577,716
E,2012-10-15,723,744
E,2012-10-16,404,425
E,2012-10-17,714,706
E,2012-10-18,825,839
E,2012-10-19,280,316
E,2012-10-22,920,924
E,2012-10-23,507,523
E,2012-10-24,862,925
E,2012-10-25,568,609
E,2012-10-26,298,325
E,2012-10-29,391,459
E,2012-10-30,460,497
E,2012-10-31,492,497
F,2012-10-01,307,260
F,2012-10-02,265,230
F,2012-10-03,225,225
F,2012-10-04,187,251
F,2012-10-05,286,282
F,2012-10-08,212,217
F,2012-10-09,282,268
F,2012-10-10,230,225
F,2012-10-11,270,254
F,2012-10-12,394,299
F,2012-10-15,330,307
F,2012-10-16,231,229
F,2012-10-17,337,329
F,2012-10-18,385,435
F,2012-10-19,147,167
F,2012-10-22,494,433
F,2012-10-23,260,239
F,2012-10-24,470,478
F,2012-10-25,233,244
F,2012-10-26,173,167
F,2012-10-29,245,238
F,2012-10-30,196,228
F,2012-10-31,224,251
G,2012-10-01,2047,2001
G,2012-10-02,1933,1810
G,2012-10-03,2061,1967
G,2012-10-04,2024,1995
G,2012-10-05,1603,1574
G,2012-10-08,2069,1906
G,2012-10-09,2100,2040
G,2012-10-10,1900,1784
G,2012-10-11,1964,2112
G,2012-10-12,1819,1766
G,2012-10-15,2044,2045
G,2012-10-16,1967,2113
G,2012-10-17,1884,1753
G,2012-10-18,1936,1840
G,2012-10-19,1580,1603
G,2012-10-22,2633,2578
G,2012-10-23,1825,1752
G,2012-10-24,1539,1531
G,2012-10-25,1632,1382
G,2012-10-26,1050,980
G,2012-10-29,1550,1418
G,2012-10-30,1455,1337
G,2012-10-31,1479,1482
J,2012-10-01,3534,3617
J,2012-10-02,3972,3975
J,2012-10-03,3697,3862
J,2012-10-04,4250,3687
J,2012-10-05,3006,3084
J,2012-10-06,447,545
J,2012-10-07,373,444
J,2012-10-08,4101,3518
J,2012-10-09,4223,3477
J,2012-10-10,4462,3847
J,2012-10-11,4824,3896
J,2012-10-12,2526,2745
J,2012-10-13,411,440
J,2012-10-14,435,481
J,2012-10-15,3973,3970
J,2012-10-16,4053,3590
J,2012-10-17,4266,3354
J,2012-10-18,4250,3692
J,2012-10-19,3087,2762
J,2012-10-20,397,506
J,2012-10-21,325,420
J,2012-10-22,4684,4273
J,2012-10-23,5102,4715
J,2012-10-24,4640,4337
J,2012-10-25,4525,3932
J,2012-10-26,3587,3255
J,2012-10-27,434,454
J,2012-10-28,368,407
J,2012-10-29,4415,3651
J,2012-10-30,4538,3995
J,2012-10-31,3885,3976
K,2012-10-01,768,875
K,2012-10-02,749,882
K,2012-10-03,748,774
K,2012-10-04,822,805
K,2012-10-05,667,590
K,2012-10-08,741,697
K,2012-10-09,820,864
K,2012-10-10,770,810
K,2012-10-11,732,788
K,2012-10-12,571,590
K,2012-10-15,788,761
K,2012-10-16,705,853
K,2012-10-17,762,779
K,2012-10-18,678,854
K,2012-10-19,620,571
K,2012-10-22,1085,1033
K,2012-10-23,852,834
K,2012-10-24,810,967
K,2012-10-25,823,826
K,2012-10-26,616,607
K,2012-10-29,783,790
K,2012-10-30,789,729
K,2012-10-31,849,911
L,2012-10-01,1014,1052
L,2012-10-02,1079,1131
L,2012-10-03,1112,1134
L,2012-10-04,1047,1074
L,2012-10-05,670,672
L,2012-10-08,1009,1060
L,2012-10-09,926,1027
L,2012-10-10,1130,1147
L,2012-10-11,1051,1081
L,2012-10-12,813,824
L,2012-10-15,944,984
L,2012-10-16,1046,1038
